"7","57208","2003","","0"
"7","57413","Accidents trends","","0"
"7","56972","Adaptation","","0"
"7","57455","Adaptation Psychological","","0"
"7","57496","Adolescent Behavior psychology","","0"
"7","56974","adverse effects","","0"
"7","57089","African American psychology","","0"
"7","57562","African Americans psychology","","0"
"7","57090","African Americans statistics & numerical data","","0"
"7","57707","Aged 80 and over","","0"
"7","57563","Aggression psychology","","0"
"7","57173","Aggression/psychology","","0"
"7","57456","Alcohol Drinking epidemiology","","0"
"7","57005","Alcohol Drinking psychology","","0"
"7","57174","Alcohol-Related Disorders psychology","","0"
"7","57175","Alcohol-Related Disorders therapy","","0"
"7","56989","Alcoholic Intoxication epidemiology","","0"
"7","57530","Alcoholism diagnosis","","0"
"7","57158","Alcoholism epidemiology","","0"
"7","57477","Alcoholism prevention & control","","0"
"7","57006","Alcoholism psychology","","0"
"7","57159","Alcoholism rehabilitation","","0"
"7","57515","Ambulatory Care methods","","0"
"7","57021","Amygdala physiopathology","","0"
"7","30","Anatomy","","0"
"7","31","Body Regions","","30"
"7","32","Anatomic Landmarks","","31"
"7","33","Breast","","32"
"7","34","Mammary Glands, Human","","33"
"7","35","Nipples","","33"
"7","36","Extremities","","32"
"7","37","Amputation Stumps","","36"
"7","38","Lower Extremity","","36"
"7","39","Buttocks","","38"
"7","40","Foot","","38"
"7","41","Ankle","","40"
"7","42","Forefoot, Human","","40"
"7","43","Metatarsus","","42"
"7","44","Toes","","42"
"7","45","Hallux","","44"
"7","46","Heel","","40"
"7","47","Hip","","38"
"7","48","Knee","","38"
"7","49","Leg","","38"
"7","50","Thigh","","38"
"7","51","Upper Extremity","","36"
"7","52","Arm","","51"
"7","53","Axilla","","51"
"7","54","Elbow","","51"
"7","55","Forearm","","51"
"7","56","Hand","","51"
"7","57","Fingers","","56"
"7","58","Thumb","","57"
"7","59","Metacarpus","","56"
"7","60","Wrist","","56"
"7","61","Shoulder","","51"
"7","62","Head","","32"
"7","63","Ear","","62"
"7","64","Face","","62"
"7","65","Cheek","","64"
"7","66","Chin","","64"
"7","67","Eye","","64"
"7","68","Eyebrows","","67"
"7","69","Eyelids","","67"
"7","70","Eyelashes","","69"
"7","71","Forehead","","64"
"7","72","Mouth","","64"
"7","73","Lip","","72"
"7","74","Nasolabial Fold","","64"
"7","75","Nose","","64"
"7","76","Parotid Region","","64"
"7","77","Scalp","","62"
"7","78","Skull Base","","62"
"7","79","Cranial Fossa, Anterior","","78"
"7","80","Cranial Fossa, Middle","","78"
"7","81","Cranial Fossa, Posterior","","78"
"7","82","Neck","","32"
"7","83","Organs at Risk","","32"
"7","84","Perineum","","32"
"7","85","Torso","","32"
"7","86","Abdomen","","85"
"7","87","Abdominal Cavity","","86"
"7","88","Peritoneum","","87"
"7","89","Douglas' Pouch","","88"
"7","90","Mesentery","","88"
"7","91","Mesocolon","","88"
"7","92","Omentum","","88"
"7","93","Peritoneal Cavity","","88"
"7","94","Peritoneal Stomata","","88"
"7","95","Retroperitoneal Space","","87"
"7","96","Abdominal Wall","","86"
"7","97","Groin","","86"
"7","98","Inguinal Canal","","86"
"7","99","Umbilicus","","86"
"7","100","Back","","85"
"7","101","Lumbosacral Region","","100"
"7","102","Sacrococcygeal Region","","100"
"7","103","Pelvis","","85"
"7","104","Lesser Pelvis","","103"
"7","105","Pelvic Floor","","103"
"7","106","Thorax","","85"
"7","107","Thoracic Cavity","","106"
"7","108","Mediastinum","","107"
"7","109","Pleural Cavity","","107"
"7","110","Thoracic Wall","","106"
"7","111","Transplant Donor Site","","32"
"7","112","Trigger Points","","32"
"7","113","Viscera","","32"
"7","114","Musculoskeletal System","","30"
"7","115","Cartilage","","114"
"7","116","Elastic Cartilage","","115"
"7","117","Ear Cartilage","","116"
"7","118","Laryngeal Cartilages","","116"
"7","119","Arytenoid Cartilage","","118"
